ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-026868,k48994e8vk.htm,301.0,658.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936395.0,0000950123-10-064375,.txt,301.0,643.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-026868,.txt,301.0,643.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-035221,.txt,200.0,18365.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,936340.0,0000950123-10-022848,c97572e8vk.htm,200.0,13106.0,0.0,0.0,0.0,10.0,0.0,
128.175.241.beg,2017-02-01,00:00:00,0.0,879181.0,0000950123-10-039171,.txt,301.0,642.0,0.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,814929.0,0001144204-03-000438,-index.htm,200.0,7022.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,1097430.0,0001097430-03-000001,-index.htm,200.0,6580.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0001104659-03-000674,-index.htm,200.0,7315.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0000949308-03-001094,-index.htm,200.0,7443.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0000898430-03-000587,-index.htm,200.0,7614.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0000080255-03-000100,-index.htm,200.0,7778.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,52935.0,0001101889-03-000003,-index.htm,200.0,7141.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0000949308-03-001094,-index.htm,200.0,7443.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0001104659-03-000674,-index.htm,200.0,7315.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,52935.0,0001101889-03-000003,-index.htm,200.0,7141.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000169,-index.htm,200.0,7937.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,9999999997-03-012165,-index.htm,200.0,6913.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,1097430.0,0001097430-03-000001,-index.htm,200.0,6580.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,814929.0,0001144204-03-000438,-index.htm,200.0,7022.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,354813.0,0000936392-03-000248,-index.htm,200.0,6519.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,51410.0,0000080255-03-000100,-index.htm,200.0,7778.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,354813.0,0000936392-03-000248,-index.htm,200.0,6519.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000320,-index.htm,200.0,7637.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,9999999997-03-012165,-index.htm,200.0,6913.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000320,-index.htm,200.0,7637.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000079,-index.htm,200.0,7649.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000029,-index.htm,200.0,7957.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000169,-index.htm,200.0,7937.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000902595-03-000021,-index.htm,200.0,6397.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000025,-index.htm,200.0,6364.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000021,-index.htm,200.0,6364.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000950150-03-000029,-index.htm,200.0,7957.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000902595-03-000021,-index.htm,200.0,6397.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000025,-index.htm,200.0,6364.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000023,-index.htm,200.0,6365.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000022,-index.htm,200.0,6365.0,1.0,0.0,0.0,10.0,0.0,
130.101.154.hhj,2017-02-01,00:00:00,0.0,714311.0,0000714311-03-000024,-index.htm,200.0,6365.0,1.0,0.0,0.0,10.0,0.0,
